Date,Baseline_Value,Strategy_Value
2015-12-31,9975.880945003928,9975.880945003928
2016-12-31,11172.775614470762,11172.775614470762
2017-12-31,13597.869157518384,13597.869157518384
2018-12-31,12976.581928715672,12753.8131118507
2019-12-31,17028.3805461471,16441.672829580617
2020-12-31,20149.956070688975,38715.723251926946
2021-12-31,25938.791797266047,49838.276628955915
2022-12-31,21224.317342558985,46003.76754377623
2023-12-31,26779.951108214012,58045.61935877245
2024-12-31,33444.529300934104,72491.11133888096
2025-12-31,39370.589394540104,93462.02608585605
2026-12-31,39804.17913855904,104659.561701824
